regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.3,20.6,27.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.3,20.6,27.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.8,20.6,27.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.8,20.6,27.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.4,20.6,26.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.4,20.6,26.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.5,20.6,25.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.5,20.6,25.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.7,20.6,25.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.7,20.6,25.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.6,20.6,23.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.1,20.6,21.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.1,20.6,21.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.3,20.6,19.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.3,20.6,19.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.6,20.6,17.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.6,20.6,17.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.3,20.6,16.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.3,20.6,16.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.9,20.6,15.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.9,20.6,15.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,32.7,20.6,14.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,32.7,20.6,14.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,31.4,20.6,12.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,31.4,20.6,12.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,30.8,20.6,12.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,30.8,20.6,12.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,30.1,20.6,11.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,30.1,20.6,11.4,ErroTOCF,2024-04-28,2024,4,28
